id	w	p	l	c1	c2	pred
2928	get	V	T	Did you get it ?	She did n't get the joke .	T
2929	set	N	T	A set of golf clubs .	A set of books .	T
2930	catch	V	F	We have a big barrel to catch the rainwater .	Catch the mood .	F
2931	air	N	T	Air pollution .	A smell of chemicals in the air .	T
2932	piece	N	F	I need to rest for a piece .	He needed a piece of granite .	F
2933	turn	V	T	Turn the clay on the wheel .	Turn the legs of the table .	T
2934	call	V	F	Take two aspirin and call me in the morning .	The ship will call in Honolulu tomorrow .	F
2935	shoot	V	T	Shoot a basket .	Shoot a goal .	T
2936	unit	N	T	He was a member of a special police unit .	The reduced the number of units and installations .	F
2937	set	V	F	Set the table .	Set the tray down .	T
2938	heart	N	F	He drew a heart and called it a valentine .	He had a change of heart .	F
2939	shell	V	T	Nuts shell in falling .	The corn shelled .	T
2940	answer	V	F	A few words would answer .	She answered the door .	F
2941	strike	V	F	Strike a bargain .	Strike fire from the flintstone .	F
2942	reaction	N	F	A bad reaction to the medicine .	The forces of reaction carried the election .	F
2943	play	V	T	Charlie likes to play Mary .	Princeton plays Yale this weekend .	F
2944	price	N	T	The price of gasoline .	I paid a high price for my folly .	F
2945	spot	N	T	A bald spot .	A leopard 's spots .	F
2946	throw	V	F	Throw accusations at someone .	She threw a beautiful teapot .	F
2947	go	V	F	The washing machine wo n't go unless it 's plugged in .	Her face went red with anger .	F
2948	set	V	F	To set glass in a sash .	The sun sets early these days .	F
2949	draw	V	T	Draw parallels .	Draw a conclusion .	T
2950	follow	V	F	Please follow the guide through the museum .	She followed a guru for years .	T
2951	appeal	V	F	Appeal to somebody for help .	The idea of a vacation appeals to me .	F
2952	drink	N	T	I asked for a hot drink .	Likes a drink before dinner .	T
2953	now	N	T	It worked up to right now .	Now is a good time to do it .	T
2954	point	V	F	Point a chimney .	Point the letter .	T
2955	support	N	T	They gave him emotional support during difficult times .	His support kept the family together .	T
2956	keep	V	F	Our grant has run out and we can not keep you on .	Keep my seat , please .	F
2957	softness	N	T	He attributes the disappointing results to softness in the economy .	Orders have recently picked up after a period of extreme softness .	T
2958	touch	N	F	This piano has a wonderful touch .	She likes the touch of silk on her skin .	T
2959	turn	V	F	Turn your face to the wall .	She is turning 50 this year .	F
2960	beat	V	F	Beat a path through the forest .	Beat one 's breast .	F
2961	get	V	F	You can not get water out of a stone .	We 'll get them !	F
2962	recognition	N	F	He was unable to make his motion because he could n't get recognition by the chairman .	Increasing recognition that diabetes frequently coexists with other chronic diseases .	F
2963	save	V	T	This will save money .	I 'll save you the trouble .	F
2964	channel	N	F	A channel is typically what you rent from a telephone company .	The English Channel lies between France and England .	F
2965	conflict	N	F	The familiar conflict between Republicans and Democrats .	His conflict of interest made him ineligible for the post .	F
2966	find	V	F	Find the product of two numbers .	She found the time and energy to take care of her aging parents .	F
2967	preparation	N	F	The resolution of one dissonance is often the preparation for another dissonance .	Preparations for the ceremony had begun .	T
2968	box	N	F	An armed guard sat in the box with the driver .	The flowchart contained many boxes .	F
2969	swing	V	T	Swing back .	Swing forward .	T
2970	date	N	T	US date : 05/24/08 = Tuesday , May 24th , 2008 . UK date : 24/05/08 = Tuesday 24th May 2008 .	The date of a letter , of a will , of a deed , of a coin , etc .	T
2971	keep	V	F	Keep food for a week in the pantry .	I keep my specimens under glass to protect them .	T
2972	gather	V	F	I gather from Aunty May that you had a good day at the match .	Let 's gather in the dining room .	T
2973	find	V	F	My son went to Berkeley to find himself .	The arrow found its mark .	F
2974	term	N	F	The general term of an algebraic equation of the n-th degree .	The major term of a syllogism must occur twice .	F
2975	face	N	F	An angry face .	Put a big sign on each face of the building that can be seen from the road .	F
2976	come	V	T	Come into contact with a terrorist group .	Their anger came to a boil .	F
2977	press	N	F	The press of business matters .	Stop the presses !	F
2978	cold	N	T	Cold is a vasoconstrictor .	Come in , out of the cold .	T
2979	claim	N	T	His claim that he was innocent .	Evidence contradicted the government 's claims .	F
2980	pursuit	N	F	The pursuit of love .	Unremitting pursuit of wealth does n't bring happiness , particularly if successful .	T
2981	commercialization	N	T	Both companies will retain control over the commercialization of their own products .	The government tried to accelerate the commercialization of this development .	T
2982	connect	V	T	This computer will connect well to the network .	Herman connected the computers together .	T
2983	baseball	N	T	He played baseball in high school .	There was a baseball game on every empty lot .	T
2984	construct	V	T	Construct an argument .	Construct a proof .	T
2985	trend	N	F	The upward trend of stock-market prices .	Not openly liberal but that is the trend of the book .	F
2986	produce	V	T	These chemicals produce a noxious vapor .	This procedure produces a curious effect .	T
2987	raise	V	T	To raise somebody to office .	Chew with your mouth shut — were you raised in a barn ?	F
2988	day	N	T	After that day she never trusted him again .	These days it is not unusual .	F
2989	business	N	T	We do business all over the world .	He 's such a poor cook , I ca n't believe he 's still in business !	F
2990	match	V	F	This job does n't match my dreams .	The company matched the discount policy of its competitors .	F
2991	keep	V	F	There 's little to earn and many to keep .	Where do you keep your gardening tools ?	T
2992	approach	V	F	Approach a task .	To approach the city .	T
2993	cure	V	T	Cure cement .	Cure resin .	F
2994	spring	N	T	You can visit me in the spring , when the weather is bearable .	Spring is the time of the year most species reproduce .	F
2995	pay	V	F	It will pay to wait .	He paid me 5000 pounds for the car .	F
2996	assumption	N	T	Their assumption of his guilt disqualified them from jury duty .	Any society is built upon certain assumptions .	T
2997	unit	N	T	The word is a basic linguistic unit .	The reduced the number of units and installations .	T
2998	ease	N	T	He passed all the exams with ease .	They put it into containers for ease of transportation .	T
2999	account	N	T	He predicted that although it is of small account now it will rapidly increase in importance .	A person of considerable account .	F
3000	rotation	N	F	The medical resident finished a two-week rotation in pediatrics and began one in orthopaedics .	The earth 's rotation about its axis is responsible for its being slightly oblate rather than a sphere .	F
3001	roll	V	F	I want to get there early ; let 's roll .	The drawer rolled open .	F
3002	air	N	F	Air pollution .	Her hand stopped in mid air .	F
3003	field	N	T	Anthropologists do much of their work in the field .	Field work traditionally distinguishes true archaeologists from armchair archaeologists .	T
3004	burn	V	T	He watched the house burn .	Maple wood burns well .	F
3005	floor	N	T	The floor of the pelvis .	The floor of the cave .	T
3006	communicate	V	T	Many deaf people communicate with sign language .	I feel I hardly know him ; I just wish he 'd communicate with me a little more .	T
3007	krona	N	T	You can use paper krona ( i.e. , bills , banknotes ) .	The book costs five krona .	T
3008	love	N	F	His love for his work .	So that 's fifteen - love to Kournikova .	F
3009	scene	N	F	The police returned to the scene of the crime .	He made a scene .	F
3010	authority	N	T	He has the authority to issue warrants .	I have the authority to penalise the staff in my department , but not the authority to sack them .	T
3011	look	N	T	I do n't like the look of the new design .	I do n't like the looks of this place .	T
3012	call	V	F	The ship will call in Honolulu tomorrow .	A transmitter in Samoa was heard calling .	F
3013	strike	V	T	We must strike the enemy 's oil fields .	The Germans struck Poland on Sept. 1 , 1939 .	T
3014	stage	N	T	The band returned to the stage to play an encore .	He clambered up onto the stage and got the actors to help him into the box .	T
3015	end	N	T	The end of the pier .	They rode to the end of the line .	T
3016	claim	N	F	His claim on her attentions .	Evidence contradicted the government 's claims .	F
3017	go	V	F	Ready , set , go !	I went on holiday and got malaria .	F
3018	empty	V	T	To empty a well or a cistern .	Empty the water .	T
3019	rest	N	F	I 'll take the rest .	People actually accomplish more when they take time for short rests .	T
3020	catch	V	F	Do n't catch your meaning .	I have some free time tonight so I think I 'll catch a movie .	F
3021	know	V	T	I know that the President lied to the people .	I want to know who is winning the game !	F
3022	system	N	F	In a static system oil can not be replaced by water on a surface .	The system consists of a motor and a small computer .	F
3023	day	N	T	It should arrive any day now .	I 've been here for 2 days and a bit .	T
3024	change	N	T	The product is undergoing a change in order to improve it .	The change was intended to increase sales .	T
3025	bankruptcy	N	T	Moral bankruptcy .	Intellectual bankruptcy .	F
3026	masquerade	N	T	A beggar 's masquerade of wealth .	I was invited to the masquerade at their home .	F
3027	make	V	T	Make friends .	Make enemies .	T
3028	pull	V	T	Pull your knees towards your chin .	Pull the string gently .	T
3029	set	V	F	The film is set in Africa .	Set the dogs on the scent of the missing children .	F
3030	carry	V	T	These pipes carry waste water into the river .	Amanda carried the package .	F
3031	helm	N	T	The helm of the Commonwealth .	The President is at the helm of the Ship of State .	T
3032	masticate	V	F	Masticate rubber .	The cow stood , quietly masticating its cud .	F
3033	face	N	F	The face of this company .	Why the sad face ?	T
3034	saving	N	T	There was a saving of 50 cents .	The shift of the supplier gave us a saving of 10 percent .	T
